"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R55","0402","42188.82mil","42345.47mil","42188.82mil","42345.47mil","42207.718mil","42345.47mil","T","180.00","2k"
"R54","0402","42208.82mil","42260.46mil","42208.82mil","42260.46mil","42208.82mil","42279.358mil","T","270.00","10k"
"R53","0402","41923.82mil","42125.47mil","41923.82mil","42125.47mil","41942.718mil","42125.47mil","T","180.00","200k"
"R52","0402","40578.82mil","43320.46mil","40578.82mil","43320.46mil","40578.82mil","43339.358mil","T","270.00","10k2"
"R51","0402","42158.82mil","42260.48mil","42158.82mil","42260.48mil","42158.82mil","42241.582mil","T","90.00","909k"
"R50","0402","41728.82mil","42090.47mil","41728.82mil","42090.47mil","41747.718mil","42090.47mil","T","180.00","10k2"
"R49","0402","41593.82mil","42145.47mil","41593.82mil","42145.47mil","41574.922mil","42145.47mil","T","360.00","0R"
"R48","0402","40528.82mil","43390.47mil","40528.82mil","43390.47mil","40547.718mil","43390.47mil","T","180.00","16k9"
"R47","0402","41593.82mil","42195.47mil","41593.82mil","42195.47mil","41612.718mil","42195.47mil","T","180.00","0R"
"R46","0402","40628.82mil","43320.47mil","40628.82mil","43320.47mil","40628.82mil","43301.572mil","T","90.00","53k6"
"R45","0402","40698.83mil","43390.47mil","40698.83mil","43390.47mil","40679.932mil","43390.47mil","T","360.00","49R9"
"R44","0402","40678.82mil","43320.47mil","40678.82mil","43320.47mil","40678.82mil","43301.572mil","T","90.00","243k"
"R43","0402","41848.82mil","41465.47mil","41848.82mil","41465.47mil","41848.82mil","41446.572mil","T","90.00","470R"
"R42","0402","41743.83mil","42025.47mil","41743.83mil","42025.47mil","41724.932mil","42025.47mil","T","360.00","0R"
"R41","0402","42983.82mil","41825.46mil","42983.82mil","41825.46mil","42983.82mil","41844.358mil","T","270.00","22R"
"R40","0402","40973.81mil","42245.47mil","40973.81mil","42245.47mil","40992.708mil","42245.47mil","T","180.00","220R"
"R39","0402","41478.82mil","42595.47mil","41478.82mil","42595.47mil","41497.718mil","42595.47mil","T","180.00","0R"
